"card_id","card_name","card_type","set_id","price_euros","rarity","artist"
"base1-1","Alakazam","Pokémon","base1",157.61,"Rare Holo","Ken Sugimori"
"base1-10","Mewtwo","Pokémon","base1",102,"Rare Holo","Ken Sugimori"
"base1-11","Nidoking","Pokémon","base1",191.89,"Rare Holo","Ken Sugimori"
"base1-12","Ninetales","Pokémon","base1",8.94,"Rare Holo","Ken Sugimori"
"base1-13","Poliwrath","Pokémon","base1",14.68,"Rare Holo","Ken Sugimori"
"base1-14","Raichu","Pokémon","base1",128.63,"Rare Holo","Ken Sugimori"
"base1-15","Venusaur","Pokémon","base1",454.85,"Rare Holo","Mitsuhiro Arita"
"base1-16","Zapdos","Pokémon","base1",16.3,"Rare Holo","Ken Sugimori"
"base1-17","Beedrill","Pokémon","base1",12.81,"Rare","Ken Sugimori"
"base1-18","Dragonair","Pokémon","base1",102.08,"Rare","Mitsuhiro Arita"
"base1-19","Dugtrio","Pokémon","base1",5.06,"Rare","Keiji Kinebuchi"
"base1-2","Blastoise","Pokémon","base1",40.13,"Rare Holo","Ken Sugimori"
"base1-20","Electabuzz","Pokémon","base1",7.61,"Rare","Ken Sugimori"
"base1-21","Electrode","Pokémon","base1",24.06,"Rare","Keiji Kinebuchi"
"base1-22","Pidgeotto","Pokémon","base1",24.8,"Rare","Ken Sugimori"
"base1-3","Chansey","Pokémon","base1",19.28,"Rare Holo","Ken Sugimori"
"base1-4","Charizard","Pokémon","base1",1368.3,"Rare Holo","Mitsuhiro Arita"
"base1-5","Clefairy","Pokémon","base1",19.53,"Rare Holo","Ken Sugimori"
"base1-6","Gyarados","Pokémon","base1",7.17,"Rare Holo","Mitsuhiro Arita"
"base1-7","Hitmonchan","Pokémon","base1",114.63,"Rare Holo","Ken Sugimori"
"base1-70","Clefairy Doll","Trainer","base1",4.08,"Rare","Keiji Kinebuchi"
"base1-71","Computer Search","Trainer","base1",18.66,"Rare","Keiji Kinebuchi"
"base1-72","Devolution Spray","Trainer","base1",4.5,"Rare","Keiji Kinebuchi"
"base1-73","Impostor Professor Oak","Trainer","base1",11.26,"Rare","Ken Sugimori"
"base1-74","Item Finder","Trainer","base1",8.48,"Rare","Keiji Kinebuchi"
"base1-75","Lass","Trainer","base1",24.76,"Rare","Ken Sugimori"
"base1-76","Pokémon Breeder","Trainer","base1",5.12,"Rare","Ken Sugimori"
"base1-77","Pokémon Trader","Trainer","base1",11.7,"Rare","Ken Sugimori"
"base1-78","Scoop Up","Trainer","base1",12.97,"Rare","Keiji Kinebuchi"
"base1-79","Super Energy Removal","Trainer","base1",2.13,"Rare","Keiji Kinebuchi"
"base1-8","Machamp","Pokémon","base1",47.8,"Rare Holo","Ken Sugimori"
"base1-9","Magneton","Pokémon","base1",21.35,"Rare Holo","Keiji Kinebuchi"
"base2-1","Clefable","Pokémon","base2",135.68,"Rare Holo","Mitsuhiro Arita"
"base2-10","Scyther","Pokémon","base2",16.69,"Rare Holo","Ken Sugimori"
"base2-11","Snorlax","Pokémon","base2",25.39,"Rare Holo","Ken Sugimori"
